timestamp,aqi,pm25,pm10,no2,co,o3,so2,temperature,humidity,wind_speed,pressure
2026-05-08 07:14:16,34,34,,,,,,33.7,32,6.2,984.2
2026-05-10 11:00:52,34,34,,,,,,38.8,22,12.8,979.2
2026-05-10 11:01:14,34,34,,,,,,38.8,22,12.8,979.2
